ID,channel,offset,exponent,knee,error_mae,gof_rsquared,dataset
0,GD001Lc_11,4.962905599289979,3.5539726974720858,21154.00698848615,0.06552191714401825,0.9886127663238146,iEEG atlas
1,GD001Lc_12,5.331922781172757,3.69252345483697,46742.48185757683,0.07918600990748659,0.9819464804700112,iEEG atlas
2,GD001Lc_13,5.326624019539279,3.5629883442870036,27357.74063886577,0.07095115157001662,0.9860769079437905,iEEG atlas
3,GD001Lc_14,5.942939628925186,3.9866066089878474,70041.39766425441,0.0906251998983512,0.9797891898722154,iEEG atlas
4,GD001Lo_1,3.317206952873151,2.2325479553127527,146.6563836848868,0.06563091669105046,0.9809408045584855,iEEG atlas
5,GD001Lo_2,3.0416750437608444,2.035217768540809,66.71522961356463,0.049887730511930975,0.9871367460999629,iEEG atlas
6,GD001Lo_3,3.429442461265501,2.3107136479524226,118.81401140281633,0.07385562598393788,0.9746651870963947,iEEG atlas
7,GD001Lo_4,3.0573172621494766,2.499606362634888,394.434245942433,0.05942598415502154,0.9861903501207853,iEEG atlas
8,GD001Lv_1,3.5245756740307064,2.200876646501914,337.45959459579905,0.09433023549924192,0.9493030398430926,iEEG atlas
9,GD001Lv_2,5.760133078765872,3.2403214357855785,60330.17591187142,0.11639203914031973,0.8941339329305442,iEEG atlas
10,GD001Lv_3,4.73749990516569,2.742938818381189,1616.333555601796,0.08839580591032489,0.9692748989913436,iEEG atlas
11,GD001Lv_4,5.280364667782819,3.206012817637216,13712.348439734367,0.08224831464805771,0.9671290731307077,iEEG atlas
12,GD001Lv_5,5.738768097158973,3.577764333556206,42882.34843741553,0.07340782501984666,0.9809775046781701,iEEG atlas
13,GD001Lv_6,5.528564039429805,3.7237644698068477,36395.16443990657,0.060950617770824306,0.9912662666364418,iEEG atlas
14,GD002Rh1,3.702094192630488,2.9049692542028462,224.82671046964393,0.07340149279008104,0.9867732421820187,iEEG atlas
15,GD002Rh2,3.408193482836452,2.9571756879334012,381.0909131741689,0.07135824618089938,0.9903745156983657,iEEG atlas
16,GD002Rh3,3.6640557106326597,3.1776179275813194,1426.730225241615,0.06988806406180458,0.9915661086269907,iEEG atlas
17,GD002Rh13,3.1164659059000814,2.5533910885603444,173.4086011084021,0.09689127191255772,0.9789112277163747,iEEG atlas
18,GD002Rh14,3.6333802900725614,2.6891843060418688,489.26823725824937,0.11560610134857098,0.9702530587548794,iEEG atlas
19,GD002Rh15,3.66681563149843,2.5626149449085136,265.3130347103198,0.13569920707450508,0.9585491283047182,iEEG atlas
20,GD002Rm1,6.382509284822002,4.0411876434636875,91086.39802882474,0.11539779903713084,0.974798937040109,iEEG atlas
21,GD002Rt1,3.182203103914372,2.6753302207544825,109.30446225891062,0.08989559399337876,0.9822075458220145,iEEG atlas
22,GD002Rt2,4.0977537492903915,2.958857153212262,40.05600651322111,0.061399499830035266,0.9942065849584837,iEEG atlas
23,GD002Rt3,4.402517775843462,3.00937569807874,90.31918012695294,0.05768180111255605,0.9953026529995289,iEEG atlas
24,GD002Rt4,4.118736737912614,2.8737768590685313,94.76410916330437,0.05708827004930396,0.9937213832158523,iEEG atlas
25,GD002Rt5,4.202660952583951,2.963456113241095,197.46780514314003,0.0846950206495007,0.9882714918573429,iEEG atlas
26,GD002Rt6,4.49385268240895,3.3184702935016186,402.5484147139307,0.09078966270767433,0.989798583975313,iEEG atlas
27,GD002Rb1,3.305906632694064,2.0833056877085028,4.736487772795757,0.08845827277958308,0.980685360525286,iEEG atlas
28,GD002Rb2,3.0612980489744683,1.8102945671858288,0.27708782564686124,0.06791710610755243,0.9865082627286731,iEEG atlas
29,GD003Lt_4,5.020144355871486,2.9468775360730186,959.2074167754836,0.07632876317807083,0.9847842781280451,iEEG atlas
30,GD003Lt_5,4.610835623060087,3.0090558857988103,1386.6190063073739,0.0685168462875687,0.9884741623704879,iEEG atlas
31,GD003Lt_6,5.571344822752702,3.7833744655437114,16621.857401577323,0.0919657310907519,0.98108180755561,iEEG atlas
32,GD003Lu_1,2.825083797946923,1.785172662506993,16.262073887348183,0.08036516018715774,0.9744628054683147,iEEG atlas
33,GD003Lf_1,5.116457506584549,3.2217784718251044,731.37765795586,0.06821420100304731,0.9929311771672231,iEEG atlas
34,GD003Lf_2,4.399863011493754,3.1455413971645254,699.1136200181304,0.08345741551440584,0.9829108678690733,iEEG atlas
35,GD003Lf_3,5.456687094918574,3.974188432903533,12440.331204879027,0.08409331396681856,0.9910970818445933,iEEG atlas
36,GD003Lf_4,4.242503496774537,3.1188718496906143,592.6213086131468,0.07642447971901964,0.9850045801927882,iEEG atlas
37,GD003Lf_5,4.81048153200007,3.083986121164157,723.6692775759918,0.05882757919825526,0.9930108510592871,iEEG atlas
38,GD003Lf_6,5.2574478206197695,3.559683655178845,2274.4324435005633,0.10919354005700874,0.9795214124990932,iEEG atlas
39,GD003Lf_10,4.508678059832166,2.950433951309523,372.3678809815475,0.06734887106699551,0.9903184181217284,iEEG atlas
40,GD004Rt1,3.2030388994086803,2.2834854196189904,10.030890386610075,0.04941498290687758,0.9940611797595705,iEEG atlas
41,GD004Rt2,4.065267320550499,2.9589942966003613,344.4815148850214,0.06944860118158085,0.9899854660276417,iEEG atlas
42,GD004Rt3,3.9629254719163187,3.237484720171045,454.65584358641865,0.07149863104305074,0.9923870763230384,iEEG atlas
43,GD004Rt6,3.8130964718723708,2.9759594332244537,724.7375283212465,0.06653266721981027,0.988858429733255,iEEG atlas
44,GD004Rt7,3.423637364431514,2.768992488094851,209.91017781181753,0.059571443404932624,0.9919748968770501,iEEG atlas
45,GD004Lt_1,3.6882599501773927,2.533990815722104,90.06112465627523,0.07978935649894651,0.9834488112100416,iEEG atlas
46,GD004Lt_2,3.3706837356368218,2.4838797528963386,92.8525194989112,0.0758822756107056,0.9850515533727986,iEEG atlas
47,GD005Lv_1,4.257686698875413,2.675940486679662,1144.5923120013379,0.07217937290028552,0.981866368460521,iEEG atlas
48,GD005Lv_2,4.544778547708675,2.8382310288114434,1455.351604418112,0.06954115522851267,0.9835693604458066,iEEG atlas
49,GD005Lv_9,4.791769972063868,3.7357458291609658,8926.136680122625,0.06549902257965867,0.9927499895340608,iEEG atlas
50,GD005Lx_2,3.7593667933539407,2.5547026321145805,273.1776995959813,0.08464809825040633,0.9807140482858242,iEEG atlas
51,GD005Lx_3,4.904155057910848,3.0837686130360997,6095.338893775335,0.06779754537698722,0.9855455268565879,iEEG atlas
52,GD005Lx_4,5.01072794650595,3.142008332485564,7772.21245706555,0.06350938172919925,0.9845579226311714,iEEG atlas
53,GD005Lx_5,5.467930519505414,3.4173348401497043,9207.836619757063,0.07311637163173783,0.9883267927088899,iEEG atlas
54,GD005Ly_6,2.4259163371242374,2.342196103692319,49.900208111407196,0.060373110277281865,0.9904169343085668,iEEG atlas
55,GD005Ly_7,3.038987619271176,2.6554535652467743,269.8025430780651,0.06447372903903223,0.9889835023202788,iEEG atlas
56,GD005Ly_8,3.195538771800849,2.6139849240249795,359.137028228701,0.04946890650591237,0.993183402409023,iEEG atlas
57,GD005Lw_1,4.112734587467794,2.7482114808129685,164.23271453907913,0.06896022667198827,0.9889743519984738,iEEG atlas
58,GD005Lw_2,4.749521668892575,3.19665092913891,1661.5676618221319,0.0819975858729729,0.9868377293972773,iEEG atlas
59,GD005Lw_3,4.349466198371242,3.146968172791671,1403.2067444103207,0.07249552363713001,0.9886188434787441,iEEG atlas
60,GD005Lw_4,5.089142881956454,3.5425859330374028,6820.561318131991,0.08170130646720668,0.986078902775155,iEEG atlas
61,GD005Lw_5,4.745952409741971,3.26562408788823,3934.6747531505084,0.08544133235681928,0.9777433456408198,iEEG atlas
62,GD005Lu_4,3.147596436510251,2.0021078313571814,41.27914846186658,0.053535596734581456,0.9874922731657352,iEEG atlas
63,GD005Lu_5,3.574187999872967,2.4209829574820794,219.88892063875966,0.0633587549745075,0.9864208408817404,iEEG atlas
64,GD006Rs4,4.092091425200127,2.4192972814736033,314.4165833617499,0.10700176257797812,0.9600319711885414,iEEG atlas
65,GD006Rs5,5.157349770940375,2.953524427659481,11127.682163652125,0.06167149474337049,0.9816468612527585,iEEG atlas
66,GD006Rs6,5.272740866794103,3.106461949934073,10037.81291970299,0.07414071532955202,0.9752174105120779,iEEG atlas
67,GD006Rq3,5.280043437684507,3.226990805520325,3940.2752557284907,0.0744686995864903,0.9861158720900753,iEEG atlas
68,GD006Rq4,4.484918220752287,2.863252005770887,523.5598458887685,0.0713129063598398,0.9878546328316601,iEEG atlas
69,GD006Rq5,5.398928048050947,3.3923570048718785,5436.28348633199,0.06851822469805523,0.9917784116183801,iEEG atlas
70,GD006Rq6,5.132427706355965,3.206220411920943,4312.674631216237,0.07124139599395005,0.9874659434461718,iEEG atlas
71,GD006Rq7,4.625174065917351,3.0220579207777867,2208.837820125825,0.08080270936895849,0.9820815600219727,iEEG atlas
72,GD006Ry8,7.591640372847482,4.727807822142888,1679098.3774466526,0.09777184019305496,0.9850953534754359,iEEG atlas
73,GD006Ry9,7.794511487098456,4.865469896123793,936777.7196603646,0.10244274879921922,0.9882106209928061,iEEG atlas
74,GD006Rx11,6.122958572377094,3.6051598109906435,27897.038360882245,0.061714651921402845,0.9914667453137553,iEEG atlas
75,GD006Rx12,6.190512932088917,3.796052580874932,95410.1464236988,0.08705975232803599,0.977750589129065,iEEG atlas
76,GD006Rg_1,4.490431898938137,3.0620862450454536,1014.3108023555656,0.08603095679927393,0.9835911046588343,iEEG atlas
77,GD006Rg_2,4.276220313800132,3.002443932278635,440.6333487106544,0.06598856283138833,0.9912883782443402,iEEG atlas
78,GD007Rd1,4.675151370760813,3.2945268393172213,5421.322947201159,0.05659627898049155,0.989491355103379,iEEG atlas
79,GD007Rd2,6.554135716439254,4.674166833933322,226582.61763109104,0.07969303693956356,0.99157217448925,iEEG atlas
80,GD007Rd3,5.250739603605423,4.2280052026822235,49478.00076033715,0.10372287535555996,0.9818956189435409,iEEG atlas
81,GD007Rt2,5.842536935056751,4.004590430951717,120294.2346435713,0.07895432510023062,0.9804213984727033,iEEG atlas
82,GD007Rt5,6.083600463377072,4.167235837084328,98201.33234802319,0.08231937080828575,0.9881509404861093,iEEG atlas
83,GD007Rt6,6.706730155801863,4.301482036068291,201586.88535847788,0.07609146715112512,0.9871761296021149,iEEG atlas
84,GD007Rq1,4.741817670781811,3.1646026908725,2509.1154485565085,0.1072459629836325,0.9755031692007595,iEEG atlas
85,GD007Rq2,5.662993278637208,3.6242079081687435,28247.81862387938,0.0938271065296169,0.9759716902756748,iEEG atlas
86,GD007Rq3,5.964153986321843,3.7120143452369803,47254.612063703455,0.1127029563224965,0.9652323205978318,iEEG atlas
87,GD007Rq4,7.298072161980233,4.62841479743075,1520108.326900753,0.08804178235927043,0.985676843452588,iEEG atlas
88,GD007Rq5,8.684507194089822,5.284474458393627,13957645.477255784,0.11623248975332283,0.9827122980287099,iEEG atlas
89,GD007Rr1,6.87251008169906,4.3475677407244655,119448.60491768921,0.11148637373140251,0.9770115066184998,iEEG atlas
90,GD007Rr2,6.400736169881079,4.067933123195809,82032.14503384753,0.07933615767556149,0.9875585427312316,iEEG atlas
91,GD007Rr3,7.727607556765611,4.855969633168009,656927.5772661538,0.1049246360347747,0.9863800867985071,iEEG atlas
92,GD007Rr4,7.358859948496572,4.7117409010678495,1476864.0630244426,0.08803377642535276,0.9857005003738633,iEEG atlas
93,GD007Rr5,6.9445266723412225,4.306979614326234,305963.5667873641,0.10205414356613507,0.9789296928188942,iEEG atlas
94,GD007Rr6,7.263014044137084,4.666852662456852,2688374.448596091,0.09703211626719728,0.9760156292168385,iEEG atlas
95,GD007Rr7,7.181283352412109,4.712512020016368,2251346.2530703694,0.0728911188189764,0.9892075729521242,iEEG atlas
96,GD007Rs2,4.898855108783512,4.226824648862549,80692.6045979028,0.1266376475694719,0.9726090924989967,iEEG atlas
97,GD007Rs3,6.236117091637064,5.0052467787270505,947684.1268864279,0.06932176351283789,0.9937109686688606,iEEG atlas
98,GD007Rs4,6.938501985982259,5.287449140579811,2301504.9516308284,0.08057763974530184,0.9900655279867746,iEEG atlas
99,GD007Rs5,6.905389873272303,5.165118017141492,1247628.2362788701,0.0959573702065252,0.9875501732248134,iEEG atlas
100,GD007Rz7,6.629546349729531,4.161961550944835,100232.97022641722,0.08164803103456918,0.9880858629832001,iEEG atlas
101,GD007Rz8,5.72976666635928,3.8918831685178215,55825.742278236976,0.09007021122058831,0.9751583689545019,iEEG atlas
102,GD007Rz13,8.795170740868384,5.417421593710774,6726853.904294256,0.07328637901892039,0.9943201847539531,iEEG atlas
103,GD007Rz14,8.287673332162386,4.8992934810006545,759151.711318031,0.08503341506362488,0.989637375206893,iEEG atlas
104,GD007Ry1,6.706130638592059,4.247488826832319,53449.42527311987,0.1340164358838124,0.9710719809452913,iEEG atlas
105,GD007Ry2,6.6132845062781005,4.161402696571297,116094.06467633546,0.08439546097402237,0.9865109332036729,iEEG atlas
106,GD007Ry3,5.603478527391054,3.8371134214704887,69258.24047528194,0.0865210348713787,0.9787375227539485,iEEG atlas
107,GD007Ry4,6.877704409920513,4.770175172776067,2617076.6857547713,0.07903842015191888,0.9860477224897067,iEEG atlas
108,GD007Ry5,7.455177149322846,4.6740020459415055,1760977.7665203281,0.07543712956931892,0.9864583001520828,iEEG atlas
109,GD007Ry6,8.615745162525924,5.0402819853325225,16310110.379086925,0.07783125016516687,0.9886674332572902,iEEG atlas
110,GD007Ry14,9.882339343037907,5.866707459019801,278369844.55585426,0.10740331103417101,0.9795955088279461,iEEG atlas
111,GD007Rx1,4.573715371661082,3.068832039205018,4555.963505500202,0.10972356882108125,0.9578901492449438,iEEG atlas
112,GD007Rx2,9.899356418248068,5.682224295095075,178506278.94636685,0.10765791422894665,0.9798458647076553,iEEG atlas
113,GD007Rx3,8.48073369521017,5.126520095977469,43864880.38301726,0.08715701688849382,0.9751557076027144,iEEG atlas
114,GD007Rx10,10.170255207593407,5.99721310554942,122304492.00983207,0.17818636303684005,0.9659699451858823,iEEG atlas
115,GD007Rx14,6.8262327171331,4.017712726617734,527266.1265392657,0.08145748201180374,0.9733647106680495,iEEG atlas
116,GD007Rf1,7.667790136653938,4.7766139000462156,2873573.803732077,0.113718749966188,0.9735876311704939,iEEG atlas
117,GD007Rf2,6.5098256879900696,4.261481709240335,591361.9948579004,0.08977461832715844,0.9780044599083217,iEEG atlas
118,GD007Rf7,6.6238797794950575,4.35170606127012,1050484.7991390447,0.07415927361384346,0.9863967082035083,iEEG atlas
119,GD007Rf8,8.385539323950736,4.825058312299075,5124696.8310221,0.06958943236736445,0.9914460401842795,iEEG atlas
